DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION DESCRIPTION,CRITICAL FLAG,GRADE,GRADE DATE,INSPECTION TYPE
FERNS,Manhattan,1 AVENUE,10009,6469985034,American,01/10/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,N,,Cycle Inspection / Initial Inspection
MADAM MIKETTE'S,Manhattan,2 AVENUE,10022,3473791381,American,05/02/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
SUSHI YASUDA,Manhattan,EAST   43 STREET,10017,2129721001,Japanese,11/28/2022,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,N,,Cycle Inspection / Initial Inspection
KUXE,Manhattan,THOMPSON STREET,10012,2124200600,Mexican,03/29/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
DON CEVICHE,Manhattan,ESSEX STREET,10002,9174121794,Peruvian,01/31/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
KHILADI,Manhattan,AVENUE B,10009,6467910351,Indian,03/07/2023,Violations were cited in the following area(s).,Live roaches in facility's food or non-food area.,Critical,N,,Cycle Inspection / Initial Inspection
LE VIET THAI,Manhattan,2 AVENUE,10128,9173883897,Southeast Asian,02/07/2023,Violations were cited in the following area(s).,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
SOPHIE'S,Manhattan,1 AVENUE,10016,2122608884,Mexican,12/15/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
BAR BY UME,Manhattan,EAST    7 STREET,10009,9172389665,Chinese/Japanese,12/08/2022,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
SHADES OF GREEN,Manhattan,EAST   15 STREET,10003,2126741394,American,04/11/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
DR. CLARK,Manhattan,BAYARD STREET,10013,9174264454,Californian,04/19/2023,Violations were cited in the following area(s).,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,N,,Cycle Inspection / Initial Inspection
